福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
闽侯县竹岐乡陈绍同养蜂场	联系人：陈	地址：闽侯县竹岐乡榕西村石岐
闽侯县竹岐乡陈金炎养蜂场	联系人：陈	地址：闽侯县竹岐乡白龙村33号
闽侯县众鑫橡胶制品有限公司	总经理：李	地址：福建省福州市闽侯县青口镇东台村洋中5号
闽侯县鑫诚工艺品有限公司	总经理：程	地址：福州市闽侯县甘蔗街道墩园洲工业区
闽侯县伟兴纺织有限公司	总经理：宋	地址：闽侯县南屿镇江口村旺厝
闽侯县南屿学仁塑料破碎加工厂	厂长：郑	地址：闽侯县南屿镇江口村浦口60号
闽侯县南屿双联铁桶加工厂	厂长：陈	地址：闽侯县南屿镇高岐村
闽侯县马厝高山农业综合开发有限公司	总经理：马	地址：闽侯县廷坪乡马厝村31号
闽侯县乐家商务宾馆	联系人：王	地址：闽侯县上街镇建平村根雕一条街1#楼二层
闽侯县大湖上苑山腰生态肉牛养殖场	联系人：朱	地址：闽侯县大湖乡上苑村山腰
闽侯县春秋纺织有限公司	总经理：宋	地址：福建省福州市闽侯县南屿镇江口村旺厝
福州金盛达家具有限公司	总经理：王	地址：福州市闽侯县祥谦镇辅翼村（福建豪峰金属制品有限公司内）
福州佳华汽车销售服务有限公司	总经理：吴	地址：闽侯县祥谦镇兰圃村（闽侯县盛辉物流有限公司内）
福州乡村牛餐饮管理有限公司	总经理：王	地址：闽侯县甘蔗街道昙石山东大道6号综合楼（厂房）整座2层202
福州市闽侯县新方向教育咨询有限公司	总经理：林	地址：福州市闽侯县上街镇建平村金上大道博仕后家园4#03店面
福州市华成工艺品有限公司	总经理：董	地址：闽侯县甘蔗街道长江村（福州市兆发水表水暖有限公司厂房1#第一层）
福建光能能源科技有限公司	总经理：薛	地址：福建省福州市闽侯县经济技术开发区二期
林梦镜	联系人：林梦镜	地址：福建闽侯县福州仓山区建新镇冠州工业区（福州南高速口）
闽侯圣博家饰有限公司	总经理：陈灵燕	地址：福建闽侯县甘蔗镇
闽侯县上街阮上好茗茶店	老板：王荣添	地址：福建闽侯县上街 源通东路
福州欧尼斯工艺品有限公司	总经理：罗若洲	地址：福建闽侯县福建闽侯荆溪镇溪头工业园区
刘文焕	联系人：刘文焕	地址：福建闽侯县甘蔗镇旗下新村闽侯县委旁
李凤阳	联系人：李凤阳	地址：福建闽侯县上街建平村1号
陈光衔	联系人：陈光衔	地址：福建闽侯县荆溪镇桐口村58号
闽侯县南屿晓东工艺品加工店	老板：林晓东	地址：福建闽侯县闽侯县南屿
福建省闽侯县白沙工艺美术二厂	厂长：王斌谋	地址：福建闽侯县福建省闽候县墩园洲工业区8号厂区
福州三成新型墙体材料有限公司	总经理：廖景国	地址：闽侯县江洋农场武竹村西洋
鑫华龙（福建）电装有限公司	总经理：王娟琴	地址：闽侯县祥谦镇辅翼村
福州御赐福贸易有限公司	总经理：赵天赐	地址：闽侯县上街镇源通东路59号尚书耕天下花园1#店面1层02店面
福州富腾生态农业发展有限公司	总经理：陈能文	地址：闽侯县鸿尾乡南坑村南坑78号
闽侯县白沙白云谷生态农业专业合作社	联系人：邱铸?	地址：闽侯县白沙镇白沙村火车路121号
福州市闽侯县旭宏商贸有限公司	总经理：孙艳先生	地址：闽侯县上街镇华佗路红峰村上街根雕展示交易中心1号楼1层12号
福州市骄阳驰辉贸易有限公司	总经理：林翠云	地址：闽侯县上街镇建平村金上大道博仕后家园1#09店
福州市黄氏艺品木业有限公司	总经理：黄贞庚	地址：闽侯县上街镇建平村后山002号
中国国旅（福建）国际旅行社有限公司闽侯尚干营业部	老板：林先生	地址：闽侯县尚干镇红新村
爱欧亚科技（福建）有限公司	总经理：程文艺	地址：福州市生物医药和机电产业园区（闽侯县南屿镇）
福建新开普信息科技有限公司	总经理：尚卫国	地址：福州市闽侯县上街镇科技东路以南“海西高新技术产业园”创新楼8号楼2层
成都中铁二局瑞城物业管理有限公司福州分公司	总经理：周蓉先生	地址：福州市闽侯县荆溪镇徐家村236号
福建天泽控股有限公司	总经理：陈先生	地址：闽侯县南通镇南通街108号
闽侯德润投资合伙企业（有限合伙）	联系人：杨岩岩	地址：闽侯县南屿镇生物医药和机电产业园区
闽侯县溪坪园农业专业合作社	联系人：郑振城	地址：闽侯县廷坪乡溪坪村芳田?
闽侯县星光辉食用菌专业合作社	联系人：陈佑辉	地址：闽侯县南通镇洲头村河尾
福州翔通电力物资有限公司	总经理：陈先生	地址：闽侯县甘蔗街道横屿村
福州华榕汽车改装有限公司	总经理：戴先生	地址：福州市闽侯县青口投资区祥谦镇洋下村
福建东乾生态农业开发有限公司	总经理：薛先生	地址：闽侯县大湖乡东?后元里15号
闽侯县鸿尾包依春木制工艺品加工场	联系人：包先生	地址：闽侯县鸿尾乡大模村
闽侯县福展包装制品有限公司	总经理：陈先生	地址：闽侯县青口镇壶山村东南千家花园1幢402
福州鼎辉工艺品有限公司	总经理：曾财银	地址：闽侯县上街镇岐头村岐头23号
福建省金福机动车安全检测有限公司	总经理：林鸿祥	地址：闽侯县祥谦镇枕峰村
福州闽源工艺品有限公司	总经理：陈仰豪	地址：闽侯县南通镇罗洲村
福建登洁农业发展有限公司	总经理：周洁先生	地址：福州市闽侯县南屿镇三南林场8号
福州牧兴饲料有限公司	总经理：陈如开	地址：闽侯县竹岐乡榕西村
福建省中保瑞志贸易有限公司	总经理：陈武先生	地址：闽侯县尚干镇福州市海峡汽车文化广场一期汽车超市一层E区E-105单元
闽侯县视界工坊贸易有限公司	总经理：陆进先生	地址：闽侯县上街镇新峰村商贸中心3#204号
福建天瑞医药有限公司闽侯县第一门市部	老板：陈德英	地址：闽侯县青口镇壶山村河头街8-2号
福州市祺联食品有限公司	总经理：王全城	地址：福州市闽侯县南通镇海峡蔬菜批发市场南区9号楼101号
闽侯县富光家居用品有限公司	总经理：陈光汨	地址：闽侯县竹岐乡榕西村中埕68号2#厂房一层01车间
福州余氏艺佳工艺品有限公司	总经理：余春宝	地址：闽侯县上街镇中美村
福州聚福鑫木业有限公司	总经理：陈端先生	地址：闽侯县上街镇新洲村
福州荣乐实业有限公司	总经理：黄积伟	地址：闽侯县青口镇青圃工业区
闽侯县御虎山生态农业专业合作社	联系人：郭銮兵	地址：福州市闽侯县祥谦镇?前村新村
福州承铭工艺品有限公司	总经理：吴先生	地址：闽侯县上街镇建平村董屿022号
福州福农农业发展有限公司	总经理：欧先生	地址：福建省闽侯县白沙镇白沙村刘厝里41号
福州祥瑞纺织品有限公司	总经理：宋先生	地址：闽侯县南屿镇江口村
闽侯县上街冰宇隆家居店	老板：赵先生	地址：闽侯县上街镇红峰村
闽侯县南屿木生便利店	老板：黄先生	地址：闽侯县南屿镇高岐村
闽侯县上街镇宪窗街道平安香烛点	联系人：陈先生	地址：闽侯县上街镇红丰村宪窗街道
闽侯县上街振辉世纪星文体用品店	老板：章先生	地址：闽侯县上街镇福州大学旗山校区学生生活区三期连廊
闽侯县上街良捷工艺品店	老板：吴先生	地址：闽侯县上街镇建平村董屿157号
闽侯县大湖月圆电信服务部	老板：程先生	地址：闽侯县大湖乡大湖后街95号
闽侯县南屿桂芳森林人家小吃店	老板：黄先生	地址：闽侯县南屿镇双峰村
闽侯县南屿艳华食杂店	老板：林先生	地址：闽侯县南屿镇柳浪村中洲56号
闽侯县大湖微微电信服务部	老板：唐先生	地址：闽侯县大湖乡东姚村东姚78号
闽侯县甘蔗红江满烟酒商行	联系人：洪先生	地址：闽侯县甘蔗街道818大道盐业办公楼底层右边三间商铺
福州海峡副食品批发市场捷佳日用百货商行	联系人：陈先生	地址：闽侯县南通镇海峡副食品批发市场1225号店
闽侯县南通剑清日杂店	老板：林先生	地址：闽侯县南通镇泽苗村
闽侯县善然堂贸易有限公司	总经理：叶先生	地址：闽侯县甘蔗街道山前村38号
福州众森工艺品有限公司	总经理：张先生	地址：闽侯县上街镇联心村
福建力普勘测有限公司	总经理：严先生	地址：闽侯县上街镇科技东路海西高新技术产业园创业大厦B区5层
福建省乾达永丰地产顾问有限公司	总经理：林先生	地址：闽侯县荆溪镇厚屿村216号福州市粮食批发市场办公大楼四楼1、2、3号店面
闽侯县九里家禽养殖专业合作社	联系人：林先生	地址：闽侯县廷坪乡汶合村九里自然村5号
闽侯县谊联合创网络科技有限公司	总经理：皮先生	地址：闽侯县甘蔗街道818大道东方花园5#306
福建福丰食品有限公司	总经理：江先生	地址：闽侯县洋里乡洋头村
闽侯福怡塑料制品有限公司	总经理：马先生	地址：闽侯县荆溪镇桐口村（福州同泰电子有限公司）厂房一层
闽侯县小天使贸易有限公司	总经理：高先生	地址：闽侯县南屿镇江口村
闽侯县上街小鱼美术设计工作室	联系人：韦先生	地址：闽侯县上街镇国宾大道338号英泰第一城B区5栋523
闽侯县青口华荣五金商店	老板：杨先生	地址：闽侯县青口镇东台村后厝135号
闽侯县上街富兴木雕工艺品店	老板：张先生	地址：闽侯县上街镇蔗洲村木雕城
闽侯县上街林东特艺根雕工艺品店	老板：王先生	地址：闽侯县上街镇建平村后山99号
闽侯县荆溪陈育才中医诊所	所长：陈先生	地址：闽侯县荆溪镇厚屿新街
